1: bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'
90: bs='100', decay='0.0029731872771578327', ep='250', lr='0.03462800693867687', momentum='0.8263421134197', nh='1000'
91: bs='100', decay='3.2669731883986383E-4', ep='250', lr='0.012719198363606639', momentum='0.40079727226411077', nh='1000'
92: bs='100', decay='0.0033165936777254114', ep='250', lr='0.03279219905253229', momentum='0.5661310047868982', nh='1000'
93: bs='100', decay='0.0077794623810496', ep='250', lr='0.03723494928008981', momentum='0.9812238454500604', nh='1000'
94: bs='100', decay='0.0029788055555234386', ep='250', lr='0.03306899012347351', momentum='0.6640898336071088', nh='1000'
95: bs='100', decay='0.0013729233572768427', ep='250', lr='0.012372646610051684', momentum='0.6321058255639407', nh='1000'
96: bs='100', decay='0.003262850365890719', ep='250', lr='0.03349005688161566', momentum='0.7408709997408558', nh='1000'
97: bs='100', decay='0.004112696280879783', ep='250', lr='0.017120070795990303', momentum='0.3935799313179037', nh='1000'
98: bs='100', decay='0.0029363656089235767', ep='250', lr='0.033235678778344824', momentum='0.7657098056740321', nh='1000'
99: bs='100', decay='7.929181514131673E-4', ep='250', lr='0.01789329025097621', momentum='0.9624619748462291', nh='1000'
100: bs='100', decay='0.006674574433361739', ep='250', lr='0.04786280225617341', momentum='0.8787145318136651', nh='1000'
