1: bs='100', decay='1.0E-4', ep='250', lr='0.05', momentum='0.5', nh='1000'
146: bs='46', decay='0.0014871101572450898', ep='233', lr='0.069443716910595', momentum='0.609993408165955', nh='1044'
147: bs='46', decay='2.9017495130296995E-5', ep='235', lr='0.08913333188707599', momentum='0.4042644271735229', nh='1063'
148: bs='55', decay='0.007272130851549905', ep='232', lr='0.035069882350934924', momentum='0.8123911196350144', nh='1073'
149: bs='80', decay='1.1390506233794158E-5', ep='142', lr='0.08738017666974279', momentum='0.4349120379667597', nh='1038'
150: bs='72', decay='0.006996883059416807', ep='250', lr='0.022941669944086165', momentum='1.0436985536376577', nh='922'
151: bs='12', decay='2.9073117612509952E-5', ep='198', lr='0.08717600415064956', momentum='0.4441484051703063', nh='1015'
152: bs='79', decay='0.009135911248501672', ep='238', lr='0.07242051143064943', momentum='0.5717939072738332', nh='1081'
153: bs='18', decay='2.6684782324173553E-5', ep='140', lr='0.056953123606792895', momentum='0.3964825441726201', nh='1038'
154: bs='35', decay='0.0042413364329119485', ep='234', lr='0.06623034267023557', momentum='0.40999504645922', nh='1098'
155: bs='96', decay='0.00595294835249184', ep='249', lr='0.033250161523002766', momentum='0.4616764665372483', nh='965'
156: bs='60', decay='0.004713638243766914', ep='231', lr='0.03775792683542371', momentum='0.46265633103802817', nh='1097'
157: bs='34', decay='0.007307344293738457', ep='219', lr='0.050665114512774716', momentum='0.9412623939401472', nh='904'
158: bs='90', decay='0.003810801194610161', ep='188', lr='0.0942822380289151', momentum='0.3422989098280477', nh='1086'
159: bs='23', decay='0.005530135451178226', ep='132', lr='0.06023946536195122', momentum='0.69790792610698', nh='999'
160: bs='53', decay='0.003515835749864389', ep='199', lr='0.09506196108988972', momentum='0.43329827493885587', nh='1091'
161: bs='64', decay='0.005565144523475379', ep='114', lr='0.016776364858427567', momentum='0.8332161487110312', nh='1094'
162: bs='76', decay='0.003623338491052096', ep='188', lr='0.09436110622937734', momentum='0.3880555306713173', nh='1091'
163: bs='42', decay='3.200412001205489E-4', ep='241', lr='0.04513350585351253', momentum='0.7599653428111381', nh='1033'
164: bs='69', decay='0.004022670164445785', ep='191', lr='0.09398409990438775', momentum='0.36642655051918743', nh='1095'
165: bs='61', decay='0.004705609391149188', ep='218', lr='0.04654037513506902', momentum='0.5196666974887523', nh='1073'
166: bs='73', decay='0.00805167661448405', ep='217', lr='0.06592493197684099', momentum='0.3635989825312418', nh='991'
167: bs='48', decay='0.004292592320295726', ep='217', lr='0.054369942898544736', momentum='0.5206123796488469', nh='968'
168: bs='92', decay='0.008222556397988325', ep='185', lr='0.034098920749257286', momentum='0.4403622726051788', nh='952'
169: bs='43', decay='0.0035568395786269367', ep='218', lr='0.050954073173155444', momentum='0.5232704958365582', nh='967'
170: bs='15', decay='0.007934972125398293', ep='196', lr='0.08073642150366683', momentum='0.7236274904867546', nh='1004'
171: bs='51', decay='0.0042502674399352005', ep='216', lr='0.07876192611043598', momentum='0.5153892679549051', nh='966'
172: bs='92', decay='0.00565920693896731', ep='114', lr='0.07084729963763083', momentum='1.094104426635479', nh='1018'
173: bs='46', decay='0.004762951026284695', ep='218', lr='0.07847994545183584', momentum='0.5089713877869636', nh='965'
174: bs='83', decay='0.0011929327209833354', ep='137', lr='0.016677245591841104', momentum='0.6045098679899393', nh='1087'
175: bs='95', decay='0.0042502674399352005', ep='189', lr='0.079345725609316', momentum='0.5256583323577797', nh='1043'
176: bs='11', decay='0.002636860379144913', ep='249', lr='0.0677794816559851', momentum='1.0242658731493053', nh='949'
177: bs='90', decay='0.0028953689995866363', ep='193', lr='0.09239770752228862', momentum='0.3969574456487419', nh='1050'
178: bs='82', decay='0.007504524768547452', ep='184', lr='0.08507725674159002', momentum='0.755553500814076', nh='924'
179: bs='90', decay='0.003810801194610161', ep='188', lr='0.06631993543149914', momentum='0.3422989098280477', nh='1045'
180: bs='91', decay='0.004923898523488037', ep='184', lr='0.026426777167424642', momentum='1.0591328246066474', nh='987'
181: bs='89', decay='0.004078221549762188', ep='198', lr='0.08893313242948318', momentum='0.36220943048792387', nh='1054'
182: bs='75', decay='1.3414512509194728E-4', ep='108', lr='0.0622891462982011', momentum='0.5355283332418996', nh='1091'
183: bs='86', decay='0.002702304075896567', ep='192', lr='0.07310833204932145', momentum='0.3761621817348627', nh='1051'
184: bs='27', decay='0.002333588568991228', ep='126', lr='0.02075891121184669', momentum='0.6359635563331596', nh='1056'
185: bs='74', decay='0.003895817717959445', ep='185', lr='0.021755260324855724', momentum='0.928029259507885', nh='1060'
186: bs='74', decay='0.004676969843231438', ep='219', lr='0.0645985435496688', momentum='1.0853359336990602', nh='977'
187: bs='10', decay='0.0054028929525362585', ep='152', lr='0.014455984093431924', momentum='0.9842391208254258', nh='1016'
188: bs='72', decay='7.794659057383238E-4', ep='232', lr='0.07600131597556332', momentum='0.4830379336955269', nh='1024'
189: bs='31', decay='0.004182665194224147', ep='241', lr='0.04131612138468851', momentum='0.9294259445386688', nh='1096'
190: bs='62', decay='0.00832895973630937', ep='111', lr='0.01143043886573262', momentum='0.5255863929955653', nh='1079'
191: bs='82', decay='0.006946433807718676', ep='118', lr='0.010941374395134595', momentum='0.9268286843487343', nh='1082'
192: bs='62', decay='0.004187487947063184', ep='222', lr='0.09658447417613807', momentum='0.7049355780754928', nh='956'
193: bs='83', decay='0.0054609596301456375', ep='163', lr='0.04324713166357123', momentum='0.9272179627682087', nh='1056'
194: bs='90', decay='0.0031705459531534957', ep='119', lr='0.057190798766938736', momentum='0.6623148799256031', nh='1006'
195: bs='10', decay='0.0033787413574159508', ep='223', lr='0.04295704787572946', momentum='0.47969225417696704', nh='1087'
196: bs='58', decay='0.00557904062823874', ep='234', lr='0.01334603730513489', momentum='0.8192635428716528', nh='1028'
197: bs='10', decay='0.004918829397068178', ep='226', lr='0.06391924257215366', momentum='0.3695350098053449', nh='1079'
198: bs='23', decay='0.0012545857004319086', ep='124', lr='0.03495188633079996', momentum='0.39399882911012574', nh='968'
199: bs='10', decay='0.0035163262304413576', ep='183', lr='0.02949639475315672', momentum='0.4266800751173755', nh='1044'
200: bs='11', decay='0.00255223084723005', ep='236', lr='0.04920446946504903', momentum='0.9711274741473923', nh='1040'
