1: bs='100', decay='1.0E-4', ep='250', lr='0.05', momentum='0.5', nh='1000'
130: bs='64', decay='6.968947610288846E-4', ep='193', lr='0.07114224363697437', momentum='0.9400049391461673', nh='561'
131: bs='27', decay='0.001987961837140711', ep='241', lr='0.019982533075432476', momentum='0.6226401073452008', nh='1095'
132: bs='87', decay='0.0032118183957211485', ep='188', lr='0.09867863720310953', momentum='0.3595338313047923', nh='1034'
133: bs='53', decay='0.0011409587263258934', ep='179', lr='0.026798299945421655', momentum='0.525821829121264', nh='627'
134: bs='56', decay='0.001154571984899404', ep='194', lr='0.09214669079776495', momentum='0.31302540554633235', nh='1041'
135: bs='62', decay='0.003134138612331735', ep='220', lr='0.026308775816062537', momentum='0.39601077820580965', nh='1006'
136: bs='61', decay='0.0019641223454994927', ep='217', lr='0.09089765930065072', momentum='0.49397102925134895', nh='1087'
137: bs='82', decay='0.004956620478416896', ep='231', lr='0.041446272726496085', momentum='0.782538558198518', nh='780'
138: bs='55', decay='0.0014008111402947', ep='234', lr='0.08719339812651246', momentum='0.4767080694797322', nh='1064'
139: bs='38', decay='3.053126289600011E-4', ep='155', lr='0.03620332251335434', momentum='0.9729983006169933', nh='395'
140: bs='52', decay='0.00378075891571431', ep='139', lr='0.08314171728258382', momentum='0.4139254740370618', nh='1048'
141: bs='60', decay='4.849815701914075E-5', ep='104', lr='0.051765044678374436', momentum='0.5852923936347797', nh='884'
142: bs='68', decay='0.0010283839210036057', ep='109', lr='0.07897626182198333', momentum='0.41410133121906456', nh='1082'
143: bs='69', decay='0.0011454159697478813', ep='179', lr='0.02010831522223238', momentum='0.9780597566120142', nh='778'
144: bs='80', decay='8.238392219728025E-5', ep='156', lr='0.025706872132054172', momentum='0.5591950912736868', nh='633'
145: bs='73', decay='0.0010590231528693802', ep='235', lr='0.06739688984655452', momentum='0.9828555847470091', nh='946'
146: bs='18', decay='1.6737324256721567E-4', ep='191', lr='0.027904302034677045', momentum='0.6037605981994316', nh='764'
147: bs='84', decay='0.002839065271567877', ep='107', lr='0.022240044545289578', momentum='0.982507556773035', nh='813'
148: bs='37', decay='1.2597886853107728E-4', ep='217', lr='0.07121703181037214', momentum='0.9951612793421054', nh='1082'
149: bs='85', decay='0.006221680052759069', ep='248', lr='0.057654539972857265', momentum='0.9486718459154875', nh='560'
150: bs='22', decay='1.8044849664135967E-5', ep='163', lr='0.0584787781961295', momentum='1.0471658445875627', nh='364'
